PP,CB,SM,DG,CN,CD,VC,SNL,RM,CO,PS,PP2,CF,CA,IN,AR,RP
1,0-2,0,0-7,0-3,0-16,0-10,0-2,0-5,0-6,0-2,1,0-7,0-27,0-8,0-10,0-4
2,3-4,1,8,4-5,17-19,11-13,3-4,6-7,7-8,3-4,2,8-9,28-33,9,11-12,5
3,5-8,2,9,6-7,20-22,14-15,5-6,8,9,5-6,3,10-11,34-39,10,13,6
4,9-11,3-4,10,8,23-26,16-18,7-8,9-10,10-11,7-9,4,12-14,40-45,11,14-15,7
5,12-15,5-7,,9-10,27-28,19-20,9-10,11-12,12-13,10-11,5,15-16,46-52,12,16,8
6,16-19,8-10,11,11,29-32,21-23,11-12,13-14,14-15,12-13,6,17-18,53-58,13,17-18,9
7,20-23,11-13,12,12-13,33-36,24-25,13,15,16-17,14-15,7,19,59-64,14,19,10
8,24-27,14-15,13,14,37-40,26-28,14-15,16-17,18-19,16-18,8,20-21,65-70,15,20-21,11
9,28-30,16-18,14,15-16,41-43,29-30,16,18-19,20,19-20,9,22-23,71-77,16,22,12
10,31-34,19-21,15,17,44-47,31-33,17,20,21-22,21-22,10,24-25,78-83,17,23,13
11,35-38,22-24,16-17,18,48-51,34-35,18-19,21-22,23-24,23-24,11,26-27,84-89,18,24-25,14
12,39-42,25-26,18,19-20,52-55,36-38,20,23-24,25-26,25-27,12,28,90-96,19,26,15
13,43-46,27-28,19,21,56-59,39-40,21,25,27-28,28-29,13,29-30,97-102,20,27,16
14,47-49,29-30,20-21,22,60-62,41-42,22,26-27,29-30,30-31,14,31-32,103-109,21-22,28,17
15,50-53,31-32,22,23,63-66,43-45,,28-29,31-32,32-33,15,33,110-115,23,29,18
16,54-57,33,23-24,24-25,67-70,46-47,23,30,33,34-35,16,34,116-121,24,30,19
17,58-61,34-35,25-26,26,71-74,48-49,24,31-32,34-35,36-37,17,35,122-128,25-26,31,
18,62-64,36,27,27,75-78,50-51,25,33,36-37,38-39,18,36,129-133,27,32,20
19,65-68,37-44,28-32,28,79-119,52-68,26-30,34-35,38-42,40-60,19,37-38,134-136,28-33,33-34,21-24
